Ticker,Name,Sponsor,NAV,Market Price,Discount %,Leverage %,Leverage Cost %,Distribution Rate %,ROC %,UNII,Expense Ratio %,1Y Total Return %,3Y Total Return %,5Y Total Return %,10Y Total Return %
BIT,BlackRock Multi-Sector Income Trust,BlackRock,13.5,12.82,-5.04,30.4,2.0,11.578783151326052,34.88346495864685,,3.26,8.57,8.67,4.11,6.62
BST,BlackRock Science and Technology Trust,BlackRock,46.15,42.05,-8.88,0.11,0.0,7.134363852556482,0.0,,1.11,47.39,24.78,6.26,18.71
PDI,PIMCO Dynamic Income Fund,"Pacific Investment Management Company, LLC",16.08,17.45,8.52,32.07,2.76,15.163323782234958,0.0,,4.46,12.82,13.8,6.47,8.66
UTG,Reaves Utility Income,Reaves Asset Management,43.75,43.14,-1.39,18.07,1.21,5.563282336578582,17.615000000000002,,2.09,43.86,23.94,13.05,11.18
RFI,Cohen & Steers Total Return,"Cohen & Steers Capital Management, Inc.",11.91,11.66,-2.1,0.04,,8.23327615780446,48.72916666666667,,0.94,11.53,9.22,4.31,6.81
